id,title,shorttitle,icon16x16,href,_blank,appid,itemtype,req_context_item_id,act_type
GC10,Ver todos los documentos por pagar,Ver todos,,/!/cxp/documentos/,0,cxp.documentos,DET01E,0,action
GC11,Nuevo documento por pagar,Agregar,,/!/cxp/documentos/_new/,0,cxp.documentos,DET01E,0,action
GC12,Consultar documento por pagar,Consultar,,/!/cxp/documentos/@_src_context_item_id/,0,cxp.documentos,DET01E,1,action
GC13,Pagar documento,Pagar,,/!/cxp/documentos/@_src_context_item_id/pago/,0,cxp.documentos,DET01E,1,action
GC14,Bonificar documento,Bonificar,,/!/cxp/documentos/@_src_context_item_id/bonificacion/,0,cxp.documentos,DET01E,1,action
GC15,Aplicar intereses moratorios a documento por pagar,Int. Moratorios,,/!/cxp/documentos/@_src_context_item_id/intmoratorios/,0,cxp.documentos,DET01E,1,action
GC16,Aplicar abonos a documentos por pagar,Aplicar abonos,,/!/cxp/documentos/@_src_context_item_id/aplicar/?_act=aplicar,0,cxp.documentos,DET01E,1,action
GC17,Desaplicar abonos de documentos por pagar,Desaplicar abonos,,/!/cxp/documentos/@_src_context_item_id/aplicar/?_act=desaplicar,0,cxp.documentos,DET01E,1,action
GC21,Nuevo proveedor,Agregar,,/!/cxp/proveedores/_new/,0,cxp.proveedores,DET03F,0,action
GC22,Editar proveedor,Editar,,/!/cxp/proveedores/@_src_context_item_id/,0,cxp.proveedores,DET03F,1,action
GC23,Estado de cuenta del proveedor,Edo. Cuenta,,/!/cxp/proveedores/@_src_context_item_id/balance/,0,cxp.proveedores,DET03F,1,action
GC24,Documentos por pagar del proveedor,Documentos,,/!/cxp/proveedores/@_src_context_item_id/pendientes/,0,cxp.proveedores,DET03F,1,action
GC25,Pagos por aplicar del proveedor,Por aplicar,,/!/cxp/proveedores/@_src_context_item_id/xaplicar/,0,cxp.proveedores,DET03F,1,action
GC26,Pago a proveedor,Pagar,,/!/cxp/proveedores/@_src_context_item_id/pago/,0,cxp.proveedores,DET03F,1,action
GC27,Bonificación a proveedor,Bonificar,,/!/cxp/proveedores/@_src_context_item_id/bonificacion/,0,cxp.proveedores,DET03F,1,action
GC28,Importar proveedores,Importar,,/!/batch/taskman/GC/importar.proveedor/,0,cxp.proveedores,DET03F,0,action
GC31,Agregar gasto,Agregar,,/!/cxp/gastos/_new/,0,cxp.gastos,DET024,0,action
GC32,Consultar gasto,Consultar,,/!/cxp/gastos/@_src_context_item_id/,0,cxp.gastos,DET024,1,action
GC41,Informe de antigüedad de saldos por pagar,Antigüedad de saldos,,/!/cxp/reports/antiguedad-saldos/,0,cxp.reports,DET03F,0,report
GC42,Origen y aplicación,Origen y aplicación,,/!/cxp/reports/origen-aplicacion/,0,cxp.reports,DET01E,0,report
GC43,Historial de pagos por proveedor,HPagos XProveedor,,/!/cxp/reports/historial-pagos-proveedor/,0,cxp.reports,DET03F,0,report
